time,x,y
2023-11-15 07:22:30.572862,1700,781
2023-11-15 07:22:30.887809,1702,766
2023-11-15 07:22:31.200762,1700,768
2023-11-15 07:22:31.492786,1698,755
2023-11-15 07:22:31.790790,1691,764
2023-11-15 07:22:32.090786,1643,748
2023-11-15 07:22:32.392777,1588,759
2023-11-15 07:22:32.692774,1523,741
2023-11-15 07:22:32.998751,1483,728
2023-11-15 07:22:33.306721,1434,717
2023-11-15 07:22:33.601734,1392,703
2023-11-15 07:22:33.892761,1363,697
2023-11-15 07:22:34.184785,1325,666
2023-11-15 07:22:34.477805,1281,664
2023-11-15 07:22:34.770825,1242,655
2023-11-15 07:22:35.060856,1191,647
2023-11-15 07:22:35.362569,1153,654
2023-11-15 07:22:35.651510,1103,640
2023-11-15 07:22:35.949167,1060,653
2023-11-15 07:22:36.247171,1020,641
2023-11-15 07:22:36.546171,969,645
2023-11-15 07:22:36.841185,921,641
2023-11-15 07:22:37.136198,881,642
2023-11-15 07:22:37.436195,830,643
2023-11-15 07:22:37.732205,795,637
2023-11-15 07:22:38.022340,747,639
2023-11-15 07:22:38.320344,713,638
2023-11-15 07:22:38.613364,679,648
2023-11-15 07:22:40.956138,570,582
2023-11-15 07:22:41.253143,645,610
2023-11-15 07:22:41.546164,682,602
2023-11-15 07:22:41.841178,680,598
2023-11-15 07:22:42.138184,585,603
2023-11-15 07:22:42.431204,542,645
2023-11-15 07:22:42.731201,490,651
2023-11-15 07:22:43.324155,433,657
